trans,items
3,frankfurter|soda|chewinggum|
3,tropicalfruit|specialtycheese|bottledwater|
1,cannedbeer|
4,finishedproducts|othervegetables|frozenvegetables|bottledbeer
2,beverages|soda
3,hamburgermeat|rootvegetables|wholemilk|
3,wholemilk|pastry|longlifebakeryproduct|
3,finishedproducts|whitewine|shoppingbags|
1,othervegetables|
8,ham|tropicalfruit|othervegetables|wholemilk|whitebread|brownbread|fruit|vegetablejuice|bottledbeer
1,othervegetables|
5,curd|buttermilk|cocoadrinks|saltysnack|popcorn|
1,bottledbeer|
8,curd|dessert|soda|saltysnack|waffles|cakebar|chocolate|shoppingbags
4,wholemilk|creamcheese|cereals|dogfood
2,wholemilk|salt
2,dessert|icecream
3,sausage|softcheese|coffee|
5,othervegetables|bottledwater|waffles|dishes|shoppingbags|
3,ham|wholemilk|rolls|buns|
2,othervegetables|icecream
2,othervegetables|bottledwater
4,soda|bottledbeer|whitewine|prosecco
2,herbs|candy
23,frankfurter|ham|tropicalfruit|pipfruit|rootvegetables|othervegetables|wholemilk|butter|curd|yogurt|whipped|sourcream|softcheese|slicedcheese|creamcheese|frozenmeals|frozenfish|domesticeggs|whitebread|sugar|cereals|fruit|vegetablejuice|bottledbeer|waffles|
2,rolls|buns|cannedbeer
7,curd|creamcheese|semi-finishedbread|zwieback|cakebar|specialtybar|shoppingbags|
6,frankfurter|tropicalfruit|wholemilk|spreadcheese|margarine|shoppingbags
1,othervegetables|
1,dogfood|
1,specialtybar|
5,curd|salt|liquor(appetizer)|detergent|shoppingbags|
2,frankfurter|rolls|buns
1,soda|
7,beef|berries|rootvegetables|wholemilk|dessert|spreadcheese|brownbread|
1,cannedbeer|
5,pork|beef|pipfruit|herbs|spices|
5,frankfurter|citrusfruit|UHT-milk|margarine|sugar|
3,sausage|bottledbeer|liquor(appetizer)|
1,cannedbeer|
1,specialtychocolate|
2,curd|rolls|buns
1,cannedbeer|
3,wholemilk|bottledwater|newspapers|
2,rolls|buns|chewinggum
5,pork|rootvegetables|othervegetables|wholemilk|dishes|
2,citrusfruit|pastry
1,pottedplants|
3,rolls|buns|pastry|soda|
6,butter|yogurt|bottledwater|soda|makeupremover|hygienearticles
4,condensedmilk|sugar|coffee|shoppingbags
5,sausage|othervegetables|yogurt|soda|shoppingbags|
4,wholemilk|beverages|UHT-milk|soda
6,sausage|pork|beef|wholemilk|rolls|buns|margarine
1,beverages|
2,beverages|specialtybar
2,bottledwater|fruit|vegetablejuice
1,newspapers|
2,cleaner|femalesanitaryproducts
4,sausage|soda|newspapers|shoppingbags
1,newspapers|
12,sausage|beef|citrusfruit|othervegetables|wholemilk|buttermilk|whipped|sourcream|beverages|hardcheese|rolls|buns|dishcleaner|cookware
2,misc.beverages|newspapers
1,whitewine|
6,sausage|slicedcheese|rolls|buns|soda|cannedbeer|shoppingbags
4,meat|curd|bottledbeer|cakebar
8,frankfurter|meat|tropicalfruit|onions|oil|bakingpowder|tea|clingfilm|bags
3,icecream|rolls|buns|cannedbeer|
1,cannedbeer|
6,tropicalfruit|berries|rootvegetables|othervegetables|bottledwater|shoppingbags
12,meat|citrusfruit|othervegetables|curd|dessert|buttermilk|beverages|creamcheese|rolls|buns|brownbread|tea|bottledwater
3,wholemilk|mustard|bottledwater|
8,sausage|beef|beverages|slicedcheese|rolls|buns|spices|housekeepingproducts|flower(seeds)
9,frankfurter|sausage|rootvegetables|butter|curd|slicedcheese|rolls|buns|saltysnack|longlifebakeryproduct|
4,meat|othervegetables|butter|rolls|buns
5,rootvegetables|beverages|Instantfoodproducts|pickledvegetables|detergent|
6,rootvegetables|herbs|othervegetables|wholemilk|slicedcheese|rolls|buns
4,wholemilk|whipped|sourcream|semi-finishedbread|margarine
16,citrusfruit|wholemilk|curd|dessert|yogurt|whipped|sourcream|frozendessert|rolls|buns|salt|sugar|cereals|cannedvegetables|cannedfish|skincare|hygienearticles|napkins
7,citrusfruit|curd|pastry|margarine|sugar|candy|newspapers|
8,othervegetables|wholemilk|bottledwater|soda|misc.beverages|bottledbeer|red|blushwine|napkins
3,citrusfruit|wholemilk|rolls|buns|
4,sausage|oil|hygienearticles|napkins
11,frankfurter|beef|hamburgermeat|grapes|rootvegetables|wholemilk|butter|frozendessert|potatoproducts|bottledwater|bottledbeer|
4,hardcheese|rolls|buns|bottledwater|newspapers
4,creamcheese|rolls|buns|soda|chocolate
5,turkey|beef|frozenvegetables|dishes|photo|film|
6,pork|othervegetables|whipped|sourcream|rolls|buns|soda|shoppingbags
2,wholemilk|beverages
2,rolls|buns|soda
9,sausage|pipfruit|wholemilk|curd|yogurt|slicedcheese|rolls|buns|bottledwater|hygienearticles|
1,icecream|
1,liquor|
3,pipfruit|othervegetables|fruit|vegetablejuice|
3,rootvegetables|othervegetables|yogurt|
1,soda|
1,soda|
11,sausage|citrusfruit|tropicalfruit|othervegetables|wholemilk|yogurt|rolls|buns|bottledwater|soda|chocolate|newspapers|
4,rootvegetables|wholemilk|petcare|detergent
6,pork|berries|rootvegetables|othervegetables|pastry|specialtybar
1,pork|
1,chocolate|
1,fruit|vegetablejuice|
2,pickledvegetables|coffee
1,bottledwater|
7,frankfurter|sausage|butter|whipped|sourcream|rolls|buns|margarine|spices|
12,tropicalfruit|pipfruit|onions|othervegetables|wholemilk|domesticeggs|sugar|soups|tea|soda|hygienearticles|napkins
1,cannedbeer|
1,rootvegetables|
6,meat|citrusfruit|berries|rootvegetables|wholemilk|soda
5,frankfurter|rolls|buns|bottledwater|fruit|vegetablejuice|hygienearticles|
3,tropicalfruit|margarine|rum|
8,tropicalfruit|rootvegetables|herbs|wholemilk|buttermilk|whipped|sourcream|flour|hygienearticles
11,citrusfruit|pipfruit|rootvegetables|othervegetables|wholemilk|creamcheese|domesticeggs|brownbread|margarine|bakingpowder|waffles|
11,hamburgermeat|othervegetables|wholemilk|curd|yogurt|rolls|buns|pastry|semi-finishedbread|margarine|bottledwater|fruit|vegetablejuice|
11,chicken|pipfruit|othervegetables|wholemilk|dessert|yogurt|whipped|sourcream|rolls|buns|pasta|soda|waffles|
7,chicken|citrusfruit|tropicalfruit|rootvegetables|wholemilk|frozenfish|rolls|buns|
8,frankfurter|citrusfruit|onions|othervegetables|wholemilk|rolls|buns|sugar|soda
1,cannedbeer|
4,turkey|pipfruit|saladdressing|pastry
10,packagedfruit|vegetables|wholemilk|curd|yogurt|domesticeggs|brownbread|mustard|pickledvegetables|bottledwater|misc.beverages
1,pasta|
2,citrusfruit|tropicalfruit
6,sausage|wholemilk|yogurt|rolls|buns|brownbread|pottedplants
5,wholemilk|frozenmeals|pastry|fruit|vegetablejuice|waffles|
1,cannedbeer|
3,citrusfruit|sugar|sauces|
1,liquor(appetizer)|
5,citrusfruit|othervegetables|rolls|buns|saltysnack|shoppingbags|
1,sausage|
9,chicken|othervegetables|wholemilk|vinegar|oil|bottledwater|cannedbeer|napkins|newspapers|
9,hamburgermeat|rootvegetables|othervegetables|wholemilk|yogurt|whipped|sourcream|specialtycheese|flour|margarine|
7,sausage|pork|othervegetables|dessert|yogurt|oil|soda|
6,beef|berries|rootvegetables|wholemilk|whipped|sourcream|abrasivecleaner
4,citrusfruit|packagedfruit|vegetables|yogurt|bottledwater
2,UHT-milk|coffee
1,candy|
1,newspapers|
4,beef|citrusfruit|othervegetables|yogurt
2,sausage|rolls|buns
13,frankfurter|beef|rootvegetables|curd|dessert|yogurt|softcheese|rolls|buns|mustard|pickledvegetables|cannedbeer|hygienearticles|napkins|
1,cannedbeer|
1,bottledbeer|
5,onions|soda|chewinggum|chocolate|newspapers|
5,tropicalfruit|packagedfruit|vegetables|creamcheese|whitebread|candy|
2,bottledwater|whitewine
5,beef|whitebread|pastry|pasta|soap|
9,sausage|chicken|tropicalfruit|rootvegetables|wholemilk|yogurt|candy|abrasivecleaner|cleaner|
1,hairspray|
5,chicken|wholemilk|spices|longlifebakeryproduct|shoppingbags|
6,pork|citrusfruit|brownbread|pastry|sugar|catfood
1,icecream|
3,meat|hardcheese|bottledbeer|
4,othervegetables|yogurt|brownbread|instantcoffee
2,bottledwater|cakebar
3,tropicalfruit|soda|saltysnack|
1,photo|film|
7,sausage|citrusfruit|yogurt|coffee|soda|cannedbeer|dishes|
2,grapes|rootvegetables
3,domesticeggs|brownbread|photo|film|
3,rolls|buns|cannedfish|cannedbeer|
2,tropicalfruit|wholemilk
1,chicken|
5,frankfurter|othervegetables|yogurt|brownbread|bottledwater|
11,berries|rootvegetables|othervegetables|curd|buttermilk|creamcheese|rollproducts|margarine|misc.beverages|specialtychocolate|detergent|
2,margarine|hygienearticles
5,tropicalfruit|yogurt|rolls|buns|soda|shoppingbags|
9,ham|othervegetables|whipped|sourcream|hardcheese|rolls|buns|soda|misc.beverages|chocolate|candy|
3,hamburgermeat|whitebread|saltysnack|
5,yogurt|mayonnaise|rolls|buns|soda|napkins|
2,soda|specialtychocolate
1,yogurt|
1,soda|
1,bottledwater|
4,sausage|meat|hamburgermeat|rubbingalcohol
8,citrusfruit|pipfruit|beverages|hardcheese|petcare|soda|fruit|vegetablejuice|waffles
1,shoppingbags|
1,newspapers|
8,frankfurter|othervegetables|wholemilk|curd|frozenpotatoproducts|zwieback|specialtybar|dishcleaner
4,sausage|citrusfruit|wholemilk|cannedbeer
2,frankfurter|rolls|buns
3,salt|saltysnack|cookware|
1,oil|
8,curd|beverages|creamcheese|rolls|buns|pastry|soda|cakebar|chewinggum
3,othervegetables|butter|specialtychocolate|
1,citrusfruit|
3,frankfurter|wholemilk|buttermilk|
6,rootvegetables|wholemilk|butter|processedcheese|mayonnaise|saltysnack
4,tropicalfruit|wholemilk|frozenmeals|bottledbeer
3,beef|hamburgermeat|pipfruit|
5,berries|whipped|sourcream|cereals|waffles|shoppingbags|
1,cannedbeer|
3,whipped|sourcream|cannedbeer|red|blushwine|
5,rootvegetables|domesticeggs|margarine|chocolatemarshmallow|candy|
2,wholemilk|soda
1,beef|
1,frozenvegetables|
2,rolls|buns|bottledbeer
2,wholemilk|hygienearticles
1,wholemilk|
4,citrusfruit|wholemilk|curd|softcheese
2,pastry|fruit|vegetablejuice
8,frankfurter|sausage|pork|pipfruit|butter|processedcheese|whitebread|brownbread
5,tropicalfruit|rootvegetables|wholemilk|whipped|sourcream|domesticeggs|
7,frankfurter|sausage|rootvegetables|yogurt|whipped|sourcream|pastry|napkins|
10,berries|rootvegetables|othervegetables|packagedfruit|vegetables|wholemilk|curd|curdcheese|catfood|specialtybar|detergent
5,rolls|buns|brownbread|pastry|coffee|bottledbeer|
7,rootvegetables|packagedfruit|vegetables|curd|dessert|frozenvegetables|specialtyfat|coffee|
1,yogurt|
2,othervegetables|bottledwater
2,berries|whitebread
2,berries|coffee
4,othervegetables|buttermilk|frozenmeals|bottledwater
2,rolls|buns|newspapers
8,ham|citrusfruit|wholemilk|whipped|sourcream|rolls|buns|pastry|waffles|hygienearticles
4,wholemilk|frozendessert|saltysnack|napkins
4,tropicalfruit|buttermilk|rolls|buns|bottledwater
1,bottledwater|
2,buttermilk|yogurt
1,newspapers|
1,coffee|
2,bottledbeer|liquor
11,onions|butter|whipped|sourcream|hardcheese|frozenvegetables|pasta|specialtyfat|syrup|candy|napkins|clingfilm|bags|
7,hamburgermeat|hardcheese|frozenmeals|pasta|dogfood|saltysnack|shoppingbags|
7,sausage|liverloaf|othervegetables|creamcheese|pastry|soap|shoppingbags|
3,hardcheese|pastry|napkins|
4,sausage|tropicalfruit|condensedmilk|rolls|buns
1,hamburgermeat|
4,onions|wholemilk|beverages|frozendessert
1,coffee|
1,shoppingbags|
6,yogurt|rolls|buns|pastry|bottledwater|soda|shoppingbags
1,soda|
1,slicedcheese|
3,sausage|wholemilk|coffee|
2,yogurt|chocolate
4,domesticeggs|rolls|buns|dishcleaner|hygienearticles
1,wholemilk|
4,meat|othervegetables|wholemilk|whipped|sourcream
4,dishcleaner|bathroomcleaner|hygienearticles|napkins
2,othervegetables|red|blushwine
10,wholemilk|buttermilk|yogurt|slicedcheese|rolls|buns|sweetspreads|coffee|fruit|vegetablejuice|longlifebakeryproduct|shoppingbags
4,othervegetables|wholemilk|rolls|buns|Instantfoodproducts
2,tropicalfruit|othervegetables
4,bakingpowder|bottledwater|saltysnack|chewinggum
1,specialtybar|
1,icecream|
2,frankfurter|yogurt
1,cannedbeer|
1,bottledwater|
6,othervegetables|wholemilk|rolls|buns|margarine|bottledwater|bottledbeer
5,citrusfruit|tropicalfruit|onions|othervegetables|shoppingbags|
7,sausage|ham|hamburgermeat|wholemilk|soda|softener|newspapers|
4,domesticeggs|rolls|buns|specialtybar|napkins
7,pork|citrusfruit|tropicalfruit|rootvegetables|othervegetables|curd|hygienearticles|
6,specialtycheese|frozenvegetables|coffee|soda|fruit|vegetablejuice|saltysnack
6,pork|citrusfruit|pipfruit|yogurt|fruit|vegetablejuice|sparklingwine
5,beef|berries|whipped|sourcream|domesticeggs|rolls|buns|
2,othervegetables|petcare
6,chicken|yogurt|slicedcheese|rolls|buns|chewinggum|dishes
2,soda|chewinggum
1,wholemilk|
1,rolls|buns|
1,bottledbeer|
4,rootvegetables|pastry|bottledwater|malecosmetics
1,pastry|
4,berries|petcare|cakebar|shoppingbags
8,citrusfruit|tropicalfruit|rootvegetables|yogurt|cannedvegetables|bottledwater|soda|softener
4,wholemilk|oil|cannedfruit|fruit|vegetablejuice
2,soda|misc.beverages
2,bottledwater|soda
3,tropicalfruit|othervegetables|rolls|buns|
1,saltysnack|
2,bottledwater|cannedbeer
1,chocolate|
4,citrusfruit|UHT-milk|creamcheese|frozenvegetables
3,bottledwater|cannedbeer|malecosmetics|
6,onions|othervegetables|pastry|bottledwater|soda|napkins
4,dessert|oil|catfood|soda
11,beef|othervegetables|wholemilk|frozenpotatoproducts|rolls|buns|oil|margarine|coffee|dentalcare|hygienearticles|newspapers|
7,rolls|buns|zwieback|bottledwater|misc.beverages|bottledbeer|cannedbeer|brandy|
7,beef|tropicalfruit|rootvegetables|onions|othervegetables|instantcoffee|soda|
1,soda|
2,coffee|hygienearticles
3,rolls|buns|brownbread|bottledwater|
9,pork|beef|hamburgermeat|othervegetables|wholemilk|frozenvegetables|rolls|buns|margarine|shoppingbags|
6,soda|cannedbeer|liquor(appetizer)|hygienearticles|napkins|newspapers
5,sausage|ham|othervegetables|icecream|whitebread|
5,beef|rootvegetables|othervegetables|rolls|buns|sugar|
4,wholemilk|butter|bottledwater|bottledbeer
4,pork|icecream|hygienearticles|housekeepingproducts
7,berries|packagedfruit|vegetables|wholemilk|icecream|fruit|vegetablejuice|saltysnack|specialtybar|
8,sausage|othervegetables|curd|yogurt|whipped|sourcream|frozenvegetables|rolls|buns|rollproducts
3,bottledwater|misc.beverages|clingfilm|bags|
8,tropicalfruit|othervegetables|packagedfruit|vegetables|wholemilk|hardcheese|frozendessert|rice|bottledwater
2,herbs|bottledwater
2,yogurt|rolls|buns
1,Instantfoodproducts|
1,specialtychocolate|
1,coffee|
2,bottledbeer|liquor
2,beef|rootvegetables
3,wholemilk|honey|waffles|
5,frankfurter|rolls|buns|pastry|snackproducts|specialtybar|
10,frankfurter|sausage|liverloaf|rootvegetables|curd|frozenvegetables|rolls|buns|semi-finishedbread|hygienearticles|photo|film
3,othervegetables|wholemilk|creamcheese|
5,frankfurter|rootvegetables|pickledvegetables|soda|seasonalproducts|
3,wholemilk|rolls|buns|newspapers|
3,frankfurter|margarine|dentalcare|
2,othervegetables|saltysnack
2,bottledwater|shoppingbags
8,pork|onions|wholemilk|butter|rolls|buns|pastry|rum|hygienearticles
1,bottledwater|
4,othervegetables|whipped|sourcream|specialtycheese|domesticeggs
5,hamburgermeat|wholemilk|curd|pasta|cannedbeer|
3,hamburgermeat|citrusfruit|othervegetables|
1,shoppingbags|
4,wholemilk|creamcheese|soda|fruit|vegetablejuice
1,icecream|
2,pastry|bottledwater
14,ham|pipfruit|wholemilk|curd|dessert|buttermilk|whipped|sourcream|slicedcheese|creamcheese|whitebread|coffee|longlifebakeryproduct|chocolate|babycosmetics
2,frankfurter|soda
11,sausage|turkey|beef|rootvegetables|domesticeggs|rolls|buns|flour|rice|organicproducts|misc.beverages|napkins|
1,bottledbeer|
3,bottledwater|bottledbeer|napkins|
6,meat|othervegetables|hardcheese|frozenmeals|bottledwater|soda
2,dessert|candy
4,othervegetables|packagedfruit|vegetables|UHT-milk|bottledwater
3,beverages|rolls|buns|soda|
3,ham|mustard|cannedfish|
1,specialtybar|
4,brownbread|soda|saltysnack|shoppingbags
3,wholemilk|creamcheese|coffee|
3,rolls|buns|pastry|red|blushwine|
2,bottledbeer|nutsnack
2,petcare|bottledbeer
3,citrusfruit|othervegetables|soda|
4,pork|othervegetables|frozenvegetables|hygienearticles
2,othervegetables|shoppingbags
2,whitewine|detergent
3,wholemilk|dessert|bottledwater|
3,pipfruit|whitewine|shoppingbags|
3,sugar|soda|bottledbeer|
6,tropicalfruit|pipfruit|rolls|buns|coffee|fruit|vegetablejuice|candy
10,rootvegetables|creamcheese|spreadcheese|frozendessert|whitebread|bottledwater|soda|misc.beverages|fruit|vegetablejuice|bottledbeer
2,soda|misc.beverages
2,wholemilk|curd
5,tropicalfruit|othervegetables|yogurt|bottledwater|malecosmetics|
2,whitebread|brownbread
3,brownbread|sugar|hygienearticles|
8,tropicalfruit|rootvegetables|coffee|bottledwater|red|blushwine|candy|housekeepingproducts|shoppingbags
1,domesticeggs|
4,coffee|detergent|hygienearticles|photo|film
1,soda|
1,wholemilk|
1,bottledbeer|
17,pork|beef|berries|packagedfruit|vegetables|wholemilk|mayonnaise|frozenfish|frozenpotatoproducts|oil|mustard|catfood|coffee|soda|chocolate|dishcleaner|napkins|newspapers|
2,othervegetables|yogurt
3,yogurt|bottledwater|dishes|
1,sparklingwine|
2,bottledwater|candy
7,citrusfruit|berries|othervegetables|buttermilk|sugar|fruit|vegetablejuice|hygienearticles|
5,hamburgermeat|rootvegetables|othervegetables|wholemilk|rolls|buns|
2,packagedfruit|vegetables|seasonalproducts
2,othervegetables|margarine
1,soda|
7,wholemilk|yogurt|frozenpotatoproducts|margarine|bottledwater|fruit|vegetablejuice|saltysnack|
2,herbs|yogurt
4,citrusfruit|spreadcheese|rolls|buns|soda
1,misc.beverages|
1,femalesanitaryproducts|
1,soda|
6,tropicalfruit|wholemilk|beverages|whitebread|pasta|shoppingbags
2,soda|femalesanitaryproducts
4,whitebread|bottledwater|soda|waffles
3,coffee|chewinggum|chocolatemarshmallow|
9,tropicalfruit|rootvegetables|wholemilk|frozenvegetables|honey|bakingpowder|coffee|red|blushwine|chocolatemarshmallow|
4,pork|pipfruit|wholemilk|buttermilk
2,citrusfruit|bottledwater
1,frankfurter|
2,frankfurter|rolls|buns
11,frankfurter|tropicalfruit|pipfruit|curd|UHT-milk|hardcheese|domesticeggs|rolls|buns|hygienearticles|napkins|shoppingbags|
1,othervegetables|
3,yogurt|fruit|vegetablejuice|newspapers|
7,sausage|wholemilk|yogurt|brownbread|cereals|bottledwater|soda|
1,wholemilk|
5,pipfruit|wholemilk|curd|pastry|bottledwater|
1,wholemilk|
2,rootvegetables|othervegetables
2,onions|fruit|vegetablejuice
1,specialtychocolate|
2,hamburgermeat|domesticeggs
1,photo|film|
4,rolls|buns|soda|snackproducts|newspapers
1,cannedbeer|
1,cannedbeer|
8,othervegetables|curd|frozenmeals|frozenpotatoproducts|soda|bottledbeer|kitchentowels|candles
1,cannedbeer|
5,curd|whipped|sourcream|rolls|buns|zwieback|spices|
3,butter|fruit|vegetablejuice|newspapers|
6,othervegetables|wholemilk|yogurt|domesticeggs|bottledwater|soda
1,wholemilk|
8,beef|tropicalfruit|herbs|wholemilk|curd|yogurt|whipped|sourcream|slicedcheese
2,sausage|rolls|buns
1,soda|
2,fruit|vegetablejuice|longlifebakeryproduct
